Prefecture,Municipality,median_price,count,median_area,price_per_m2
Tokyo,Chiyoda Ward,115000000.0,44,75.0,1533333.3333333333
Tokyo,Chofu City,39500000.0,28,122.5,322448.97959183675
Tokyo,Chuo Ward,130000000.0,101,65.0,2000000.0
Tokyo,Edogawa Ward,24500000.0,84,90.0,272222.22222222225
Tokyo,Fuchu City,37500000.0,30,120.0,312500.0
Tokyo,Hachioji City,26500000.0,36,180.0,147222.22222222222
Tokyo,Higashikurume City,25000000.0,16,112.5,222222.22222222222
Tokyo,Higashimurayama City,30000000.0,20,132.5,226415.09433962265
Tokyo,Hino City,20000000.0,17,185.0,108108.1081081081
Tokyo,Itabashi Ward,24000000.0,110,95.0,252631.57894736843
Tokyo,Katsushika Ward,26500000.0,84,100.0,265000.0
Tokyo,Kita Ward,26000000.0,97,70.0,371428.5714285714
Tokyo,Kodaira City,32000000.0,30,140.0,228571.42857142858
Tokyo,Koganei City,43500000.0,12,160.0,271875.0
Tokyo,Kokubunji City,28000000.0,21,145.0,193103.44827586206
Tokyo,Komae City,37000000.0,16,135.0,274074.0740740741
Tokyo,Koto Ward,40000000.0,84,75.0,533333.3333333334
Tokyo,Machida City,35000000.0,32,170.0,205882.35294117648
Tokyo,Meguro Ward,60000000.0,54,112.5,533333.3333333334
Tokyo,Minato Ward,130000000.0,69,80.0,1625000.0
Tokyo,Mitaka City,39000000.0,14,130.0,300000.0
Tokyo,Musashino City,69000000.0,19,150.0,460000.0
Tokyo,Nakano Ward,40500000.0,130,95.0,426315.7894736842
Tokyo,Nerima Ward,25000000.0,211,105.0,238095.2380952381
Tokyo,Nishitokyo City,26500000.0,26,115.0,230434.78260869565
Tokyo,Ota Ward,44000000.0,194,110.0,400000.0
Tokyo,Oume City,22000000.0,19,220.0,100000.0
Tokyo,Setagaya Ward,61000000.0,149,125.0,488000.0
Tokyo,Shibuya Ward,89000000.0,77,105.0,847619.0476190476
Tokyo,Shinagawa Ward,47000000.0,123,90.0,522222.22222222225
Tokyo,Shinjuku Ward,58000000.0,175,100.0,580000.0
Tokyo,Suginami Ward,46000000.0,145,110.0,418181.8181818182
Tokyo,Sumida Ward,43000000.0,131,100.0,430000.0
Tokyo,Tachikawa City,17000000.0,11,95.0,178947.36842105264
Tokyo,Taito Ward,55500000.0,184,75.0,740000.0
Tokyo,Tama City,39500000.0,18,300.0,131666.66666666666
Tokyo,Toshima Ward,41000000.0,106,82.5,496969.69696969696
Tottori Prefecture,Tottori City,6200000.0,54,167.5,37014.92537313433
Tottori Prefecture,Yonago City,6000000.0,37,240.0,25000.0
Toyama Prefecture,Imizu City,2450000.0,30,112.5,21777.777777777777
Toyama Prefecture,"Kamiichi Town,Nakaniikawa County",1700000.0,10,220.0,7727.272727272727
Toyama Prefecture,Kurobe City,5500000.0,13,330.0,16666.666666666668
Toyama Prefecture,Nanto City,3000000.0,14,215.0,13953.488372093023
Toyama Prefecture,Takaoka City,5200000.0,77,165.0,31515.151515151516
Toyama Prefecture,Toyama City,6850000.0,150,192.5,35584.41558441558
Toyama Prefecture,Uozu City,5450000.0,20,152.5,35737.70491803279
Wakayama Prefecture,Hashimoto City,3750000.0,10,215.0,17441.86046511628
Wakayama Prefecture,Kainan City,7200000.0,15,230.0,31304.347826086956
Wakayama Prefecture,Kinokawa City,3600000.0,14,210.0,17142.85714285714
Wakayama Prefecture,Shingu City,5200000.0,29,145.0,35862.06896551724
Wakayama Prefecture,Tanabe City,7000000.0,11,220.0,31818.18181818182
